Metric,Task,System,Score
F1-Score,FMA-NCI,Error Rate 10,0.859
F1-Score,FMA-NCI,Error Rate 20,0.840
F1-Score,FMA-NCI,Error Rate 30,0.830
F1-Score,FMA-NCI,OASystem (auto),0.829
F1-Score,FMA-NCI,OASystem + Gemini F2.0,0.845
F1-Score,FMA-NCI,OASystem + Gemini F2.5,0.828
F1-Score,FMA-NCI,Perfect Oracle,0.875
F1-Score,FMA-SNOMED,Error Rate 10,0.736
F1-Score,FMA-SNOMED,Error Rate 20,0.721
F1-Score,FMA-SNOMED,Error Rate 30,0.706
F1-Score,FMA-SNOMED,OASystem (auto),0.710
F1-Score,FMA-SNOMED,OASystem + Gemini F2.0,0.719
F1-Score,FMA-SNOMED,OASystem + Gemini F2.5,0.694
F1-Score,FMA-SNOMED,Perfect Oracle,0.747
F1-Score,Mouse-Human,Error Rate 10,0.901
F1-Score,Mouse-Human,Error Rate 20,0.891
F1-Score,Mouse-Human,Error Rate 30,0.884
F1-Score,Mouse-Human,OASystem (auto),0.880
F1-Score,Mouse-Human,OASystem + Gemini F2.0,0.892
F1-Score,Mouse-Human,OASystem + Gemini F2.5,0.898
F1-Score,Mouse-Human,Perfect Oracle,0.910
F1-Score,NCIT-DOID,Error Rate 10,0.907
F1-Score,NCIT-DOID,Error Rate 20,0.898
F1-Score,NCIT-DOID,Error Rate 30,0.888
F1-Score,NCIT-DOID,OASystem (auto),0.869
F1-Score,NCIT-DOID,OASystem + Gemini F2.0,0.882
F1-Score,NCIT-DOID,OASystem + Gemini F2.5,0.895
F1-Score,NCIT-DOID,Perfect Oracle,0.916
F1-Score,OMIM-ORDO,Error Rate 10,0.625
F1-Score,OMIM-ORDO,Error Rate 20,0.616
F1-Score,OMIM-ORDO,Error Rate 30,0.612
F1-Score,OMIM-ORDO,OASystem (auto),0.592
F1-Score,OMIM-ORDO,OASystem + Gemini F2.0,0.620
F1-Score,OMIM-ORDO,OASystem + Gemini F2.5,0.626
F1-Score,OMIM-ORDO,Perfect Oracle,0.632
F1-Score,SNOMED-FMA.body,Error Rate 10,0.637
F1-Score,SNOMED-FMA.body,Error Rate 20,0.631
F1-Score,SNOMED-FMA.body,Error Rate 30,0.628
F1-Score,SNOMED-FMA.body,OASystem (auto),0.607
F1-Score,SNOMED-FMA.body,OASystem + Gemini F2.0,0.622
F1-Score,SNOMED-FMA.body,OASystem + Gemini F2.5,0.632
F1-Score,SNOMED-FMA.body,Perfect Oracle,0.643
F1-Score,SNOMED-NCI,Error Rate 10,0.757
F1-Score,SNOMED-NCI,Error Rate 20,0.749
F1-Score,SNOMED-NCI,Error Rate 30,0.740
F1-Score,SNOMED-NCI,OASystem (auto),0.743
F1-Score,SNOMED-NCI,OASystem + Gemini F2.0,0.747
F1-Score,SNOMED-NCI,OASystem + Gemini F2.5,0.751
F1-Score,SNOMED-NCI,Perfect Oracle,0.766
