Source,Target,Prediction,Confidence
http://mouse.owl#MA_0002684,http://human.owl#NCI_C32658,False,1.0
http://mouse.owl#MA_0001546,http://human.owl#NCI_C32929,False,1.0
http://mouse.owl#MA_0002677,http://human.owl#NCI_C48257,False,1.0
http://mouse.owl#MA_0001251,http://human.owl#NCI_C49482,False,1.0
http://mouse.owl#MA_0001615,http://human.owl#NCI_C12262,True,1.0
http://mouse.owl#MA_0002127,http://human.owl#NCI_C33665,False,1.0
http://mouse.owl#MA_0000288,http://human.owl#NCI_C12759,False,1.0
http://mouse.owl#MA_0001249,http://human.owl#NCI_C33075,False,1.0
http://mouse.owl#MA_0001338,http://human.owl#NCI_C33139,False,1.0
http://mouse.owl#MA_0000152,http://human.owl#NCI_C12701,False,1.0
http://mouse.owl#MA_0000170,http://human.owl#NCI_C12455,False,1.0
http://mouse.owl#MA_0001269,http://human.owl#NCI_C32315,False,1.0
http://mouse.owl#MA_0000333,http://human.owl#NCI_C12379,False,1.0
http://mouse.owl#MA_0002234,http://human.owl#NCI_C53050,True,1.0
http://mouse.owl#MA_0001221,http://human.owl#NCI_C33748,True,1.0
http://mouse.owl#MA_0001355,http://human.owl#NCI_C32414,False,1.0
http://mouse.owl#MA_0000398,http://human.owl#NCI_C32492,False,1.0
http://mouse.owl#MA_0000756,http://human.owl#NCI_C12992,False,1.0
http://mouse.owl#MA_0000901,http://human.owl#NCI_C32653,False,1.0
http://mouse.owl#MA_0001659,http://human.owl#NCI_C32683,False,1.0
http://mouse.owl#MA_0001326,http://human.owl#NCI_C33205,False,1.0
http://mouse.owl#MA_0001841,http://human.owl#NCI_C49210,False,1.0
http://mouse.owl#MA_0001771,http://human.owl#NCI_C32053,False,1.0
http://mouse.owl#MA_0000451,http://human.owl#NCI_C32497,False,1.0
http://mouse.owl#MA_0000060,http://human.owl#NCI_C12679,False,1.0
http://mouse.owl#MA_0001253,http://human.owl#NCI_C49482,False,1.0
http://mouse.owl#MA_0001616,http://human.owl#NCI_C12261,False,1.0
http://mouse.owl#MA_0000251,http://human.owl#NCI_C33528,False,1.0
http://mouse.owl#MA_0000205,http://human.owl#NCI_C12442,False,1.0
http://mouse.owl#MA_0000259,http://human.owl#NCI_C12292,False,1.0
http://mouse.owl#MA_0000369,http://human.owl#NCI_C12927,False,1.0
http://mouse.owl#MA_0000813,http://human.owl#NCI_C12349,False,1.0
http://mouse.owl#MA_0002420,http://human.owl#NCI_C12725,False,1.0
http://mouse.owl#MA_0000237,http://human.owl#NCI_C12499,False,1.0
