Source,Target,Prediction,Confidence
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Primary_oocyte,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Oogonia,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Pericyte,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Pericytes,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Transitional_cell,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Transitional_Cell,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_lobar_and_segmental_bronchi,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Intrapulmonary_Bronchus,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Fissure,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Fissure,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Bone_of_metacarpal_bone,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Metacarpal_Bones,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Physical_state_value,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Physical_State,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Vocalis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Vocalis_Muscle,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Common_hepatic_duct,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hepatic_Duct,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Body_cavity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Body_Cavity,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anterior_limiting_lamina_of_cornea,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bowman_s_Membrane,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Auditory_system,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Auditory_System,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Hair_root,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hair_Root,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Crest,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ridge,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Alimentary_system,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Digestive_System,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_superficial_cervical_lymph_nodes,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Superficial_Cervical_Lymph_Node,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Dorsal_metatarsal_vein,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dorsal_Metatarsal_Vein,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Lesser_omentum,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Omentum,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Ureteral_orifice,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ureteric_Orifice,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Second_sacral_vertebra,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#S2_Vertebra,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Trochlear_nerve,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Trochlear_Nerve,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Variant_spinal_nerve,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Spinal_Nerves,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Celiac_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Coeliac_Artery,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Blood_cell,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Blood_Cells,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Superior_vesical_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Superior_Vesical_Artery,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_lentiform_nuclei,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Lentiform_Nucleus,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Intercostal_muscle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Intercostal_Muscle,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Orbital_part_of_left_inferior_frontal_gyrus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Orbital_Part_of_the_Inferior_Frontal_Gyrus,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Erythrocyte,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Erythrocytes,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Troponin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Troponin-I,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Middle_ear,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Middle_Ear,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Superior_pancreaticoduodenal_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Superior_Pancreatico-Duodenal_Artery,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Globus_pallidus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Globus_Pallidus,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Parietal_layer_of_glomerular_capsule,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Parietal_Layer_of_Bowman_s_Capsule,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Flocculus_of_cerebellum,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Lobule,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_lumbar_vertebrae,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Lumbar_Vertebra,True,1.0
