Source,Target,Prediction,Confidence
http://human.owl#NCI_C53050,http://mouse.owl#MA_0002234,True,0.9999974223173038
http://human.owl#NCI_C32658,http://mouse.owl#MA_0002684,True,0.9770215921547215
http://human.owl#NCI_C33743,http://mouse.owl#MA_0002390,True,0.7772967623259942
http://human.owl#NCI_C33075,http://mouse.owl#MA_0001249,False,0.9959291954968316
http://human.owl#NCI_C32497,http://mouse.owl#MA_0000451,True,0.9994467627899424
http://human.owl#NCI_C33627,http://mouse.owl#MA_0001460,False,0.9999642843334096
http://human.owl#NCI_C12909,http://mouse.owl#MA_0002434,True,0.4999976148675707
http://human.owl#NCI_C33791,http://mouse.owl#MA_0000777,True,0.6224581982805761
http://human.owl#NCI_C12758,http://mouse.owl#MA_0001095,True,0.9999868132750614
http://human.owl#NCI_C32742,http://mouse.owl#MA_0000470,True,0.9626690206101299
http://human.owl#NCI_C12349,http://mouse.owl#MA_0000813,True,0.9984979347814182
http://human.owl#NCI_C49212,http://mouse.owl#MA_0001836,True,0.9997384599806582
http://human.owl#NCI_C32296,http://mouse.owl#MA_0000789,False,0.9999415175046573
http://human.owl#NCI_C12457,http://mouse.owl#MA_0000172,False,0.6224555826373861
http://human.owl#NCI_C33869,http://mouse.owl#MA_0001454,False,0.8175721892391794
http://human.owl#NCI_C49191,http://mouse.owl#MA_0000702,False,0.9399120998486898
http://human.owl#NCI_C12679,http://mouse.owl#MA_0000060,True,0.5621743245313765
http://human.owl#NCI_C12992,http://mouse.owl#MA_0000756,True,0.9984984109024495
http://human.owl#NCI_C33139,http://mouse.owl#MA_0001338,False,0.9999992103693378
http://human.owl#NCI_C12299,http://mouse.owl#MA_0000796,True,0.9399102020671843
http://human.owl#NCI_C49313,http://mouse.owl#MA_0001730,False,0.5621742575149787
http://human.owl#NCI_C33178,http://mouse.owl#MA_0001320,True,0.9992899659353167
http://human.owl#NCI_C33565,http://mouse.owl#MA_0001552,True,0.9525728098454248
http://human.owl#NCI_C13041,http://mouse.owl#MA_0000004,False,0.9999968263007644
http://human.owl#NCI_C12442,http://mouse.owl#MA_0000206,True,0.9820110195372941
http://human.owl#NCI_C33748,http://mouse.owl#MA_0001221,True,0.9990885944370145
http://human.owl#NCI_C12262,http://mouse.owl#MA_0001615,True,0.9947788449846743
http://human.owl#NCI_C12442,http://mouse.owl#MA_0000205,True,0.8807950519009798
http://human.owl#NCI_C49210,http://mouse.owl#MA_0001841,False,0.9975270465076225
http://human.owl#NCI_C49228,http://mouse.owl#MA_0001633,True,0.9241405454883417
http://human.owl#NCI_C12499,http://mouse.owl#MA_0000237,False,0.9959295479588041
http://human.owl#NCI_C33603,http://mouse.owl#MA_0002487,True,0.9968268544290256
http://human.owl#NCI_C32492,http://mouse.owl#MA_0000398,False,0.9975269278253939
http://human.owl#NCI_C12725,http://mouse.owl#MA_0002420,True,0.4999934425797477
http://human.owl#NCI_C12261,http://mouse.owl#MA_0001616,False,0.7310557679074783
http://human.owl#NCI_C33771,http://mouse.owl#MA_0000768,False,0.9968269734921458
http://human.owl#NCI_C33340,http://mouse.owl#MA_0002554,True,0.9999247109121079
http://human.owl#NCI_C13082,http://mouse.owl#MA_0002748,True,0.9947793193323049
http://human.owl#NCI_C12867,http://mouse.owl#MA_0001771,True,0.9995689468939613
http://human.owl#NCI_C12907,http://mouse.owl#MA_0000014,False,0.9241408553306564
http://human.owl#NCI_C32414,http://mouse.owl#MA_0001355,True,0.9999864556683433
http://human.owl#NCI_C12927,http://mouse.owl#MA_0000369,True,0.9525709716670904
http://human.owl#NCI_C32656,http://mouse.owl#MA_0002683,True,0.8807950519009798
http://human.owl#NCI_C49312,http://mouse.owl#MA_0001729,False,0.9990887134795086
http://human.owl#NCI_C53172,http://mouse.owl#MA_0002302,True,0.9959290767728267
http://human.owl#NCI_C12598,http://mouse.owl#MA_0000388,False,0.9998414082988808
http://human.owl#NCI_C12437,http://mouse.owl#MA_0000166,True,0.9046467246775511
http://human.owl#NCI_C32743,http://mouse.owl#MA_0002723,False,0.9999988527586979
http://human.owl#NCI_C12421,http://mouse.owl#MA_0000341,False,0.9984985298165022
http://human.owl#NCI_C12806,http://mouse.owl#MA_0001100,True,0.999997303114013
http://human.owl#NCI_C48257,http://mouse.owl#MA_0002677,False,0.9999987335551229
http://human.owl#NCI_C12379,http://mouse.owl#MA_0000333,False,0.7772947469519699
http://human.owl#NCI_C12455,http://mouse.owl#MA_0000170,True,0.9890121691669741
http://human.owl#NCI_C32683,http://mouse.owl#MA_0001659,True,0.8519506656579726
http://human.owl#NCI_C32315,http://mouse.owl#MA_0001269,True,0.9990882371351538
http://human.owl#NCI_C12884,http://mouse.owl#MA_0002655,False,0.9770219324657078
http://human.owl#NCI_C52844,http://mouse.owl#MA_0001914,False,0.6791772391347013
http://human.owl#NCI_C33665,http://mouse.owl#MA_0002127,True,0.999796122783857
http://human.owl#NCI_C12897,http://mouse.owl#MA_0001073,True,0.9984980538116548
http://human.owl#NCI_C32929,http://mouse.owl#MA_0001546,False,0.998072988160571
http://human.owl#NCI_C33528,http://mouse.owl#MA_0000251,True,0.7772974804490357
http://human.owl#NCI_C49482,http://mouse.owl#MA_0001251,True,0.9820129712295457
http://human.owl#NCI_C32653,http://mouse.owl#MA_0000901,False,0.9999986143516758
http://human.owl#NCI_C33205,http://mouse.owl#MA_0001326,False,0.9999933694113405
http://human.owl#NCI_C32926,http://mouse.owl#MA_0002688,False,0.8807959706422923
http://human.owl#NCI_C49482,http://mouse.owl#MA_0001253,True,0.9046486793212296
http://human.owl#NCI_C33666,http://mouse.owl#MA_0002225,False,0.9706866901895231
http://human.owl#NCI_C12742,http://mouse.owl#MA_0000026,False,0.9995693043386459
http://human.owl#NCI_C32056,http://mouse.owl#MA_0000417,False,0.9525716210617339
http://human.owl#NCI_C33661,http://mouse.owl#MA_0002062,False,0.9999988527586979
