Source,Target,Prediction,Confidence
http://human.owl#NCI_C53050,http://mouse.owl#MA_0002234,True,1.0
http://human.owl#NCI_C32658,http://mouse.owl#MA_0002684,True,1.0
http://human.owl#NCI_C33748,http://mouse.owl#MA_0001221,True,1.0
http://human.owl#NCI_C33139,http://mouse.owl#MA_0001338,False,1.0
http://human.owl#NCI_C49212,http://mouse.owl#MA_0001836,True,1.0
http://human.owl#NCI_C33075,http://mouse.owl#MA_0001249,True,1.0
http://human.owl#NCI_C32497,http://mouse.owl#MA_0000451,True,1.0
http://human.owl#NCI_C49191,http://mouse.owl#MA_0000702,True,1.0
http://human.owl#NCI_C33743,http://mouse.owl#MA_0002390,True,1.0
http://human.owl#NCI_C32742,http://mouse.owl#MA_0000470,True,1.0
http://human.owl#NCI_C32296,http://mouse.owl#MA_0000789,False,1.0
http://human.owl#NCI_C12758,http://mouse.owl#MA_0001095,True,1.0
http://human.owl#NCI_C12349,http://mouse.owl#MA_0000813,True,1.0
http://human.owl#NCI_C49313,http://mouse.owl#MA_0001730,True,1.0
http://human.owl#NCI_C12992,http://mouse.owl#MA_0000756,True,1.0
http://human.owl#NCI_C12457,http://mouse.owl#MA_0000172,True,1.0
http://human.owl#NCI_C33791,http://mouse.owl#MA_0000777,True,1.0
http://human.owl#NCI_C33627,http://mouse.owl#MA_0001460,False,1.0
http://human.owl#NCI_C33565,http://mouse.owl#MA_0001552,True,1.0
http://human.owl#NCI_C33869,http://mouse.owl#MA_0001454,True,1.0
http://human.owl#NCI_C12299,http://mouse.owl#MA_0000796,True,1.0
http://human.owl#NCI_C12909,http://mouse.owl#MA_0002434,True,1.0
http://human.owl#NCI_C12262,http://mouse.owl#MA_0001615,True,1.0
http://human.owl#NCI_C33178,http://mouse.owl#MA_0001320,True,1.0
http://human.owl#NCI_C13082,http://mouse.owl#MA_0002748,True,1.0
http://human.owl#NCI_C12679,http://mouse.owl#MA_0000060,True,1.0
http://human.owl#NCI_C32414,http://mouse.owl#MA_0001355,True,1.0
http://human.owl#NCI_C49228,http://mouse.owl#MA_0001633,True,1.0
http://human.owl#NCI_C12442,http://mouse.owl#MA_0000206,True,1.0
http://human.owl#NCI_C12442,http://mouse.owl#MA_0000205,True,1.0
http://human.owl#NCI_C49210,http://mouse.owl#MA_0001841,True,1.0
http://human.owl#NCI_C12867,http://mouse.owl#MA_0001771,True,1.0
http://human.owl#NCI_C12499,http://mouse.owl#MA_0000237,True,1.0
http://human.owl#NCI_C32492,http://mouse.owl#MA_0000398,True,1.0
http://human.owl#NCI_C33603,http://mouse.owl#MA_0002487,True,1.0
http://human.owl#NCI_C12927,http://mouse.owl#MA_0000369,True,1.0
http://human.owl#NCI_C32656,http://mouse.owl#MA_0002683,True,1.0
http://human.owl#NCI_C33771,http://mouse.owl#MA_0000768,True,1.0
http://human.owl#NCI_C33340,http://mouse.owl#MA_0002554,True,1.0
http://human.owl#NCI_C49312,http://mouse.owl#MA_0001729,True,1.0
http://human.owl#NCI_C53172,http://mouse.owl#MA_0002302,True,1.0
http://human.owl#NCI_C12261,http://mouse.owl#MA_0001616,True,1.0
http://human.owl#NCI_C12437,http://mouse.owl#MA_0000166,True,1.0
http://human.owl#NCI_C32743,http://mouse.owl#MA_0002723,False,1.0
http://human.owl#NCI_C13041,http://mouse.owl#MA_0000004,False,1.0
http://human.owl#NCI_C12907,http://mouse.owl#MA_0000014,True,1.0
http://human.owl#NCI_C52844,http://mouse.owl#MA_0001914,True,1.0
http://human.owl#NCI_C12806,http://mouse.owl#MA_0001100,True,1.0
http://human.owl#NCI_C12598,http://mouse.owl#MA_0000388,False,1.0
http://human.owl#NCI_C48257,http://mouse.owl#MA_0002677,False,1.0
http://human.owl#NCI_C12725,http://mouse.owl#MA_0002420,True,1.0
http://human.owl#NCI_C33665,http://mouse.owl#MA_0002127,False,1.0
http://human.owl#NCI_C12455,http://mouse.owl#MA_0000170,True,1.0
http://human.owl#NCI_C33205,http://mouse.owl#MA_0001326,False,1.0
http://human.owl#NCI_C12884,http://mouse.owl#MA_0002655,True,1.0
http://human.owl#NCI_C12421,http://mouse.owl#MA_0000341,True,1.0
http://human.owl#NCI_C12897,http://mouse.owl#MA_0001073,True,1.0
http://human.owl#NCI_C32683,http://mouse.owl#MA_0001659,True,1.0
http://human.owl#NCI_C32653,http://mouse.owl#MA_0000901,False,1.0
http://human.owl#NCI_C12379,http://mouse.owl#MA_0000333,True,1.0
http://human.owl#NCI_C32315,http://mouse.owl#MA_0001269,True,1.0
http://human.owl#NCI_C33666,http://mouse.owl#MA_0002225,False,1.0
http://human.owl#NCI_C32926,http://mouse.owl#MA_0002688,True,1.0
http://human.owl#NCI_C49482,http://mouse.owl#MA_0001251,True,1.0
http://human.owl#NCI_C33661,http://mouse.owl#MA_0002062,False,1.0
http://human.owl#NCI_C32929,http://mouse.owl#MA_0001546,True,1.0
http://human.owl#NCI_C33121,http://mouse.owl#MA_0001347,False,1.0
http://human.owl#NCI_C33528,http://mouse.owl#MA_0000251,True,1.0
http://human.owl#NCI_C49482,http://mouse.owl#MA_0001253,True,1.0
http://human.owl#NCI_C12879,http://mouse.owl#MA_0002131,True,1.0
http://human.owl#NCI_C12899,http://mouse.owl#MA_0001039,True,1.0
http://human.owl#NCI_C49210,http://mouse.owl#MA_0001831,True,1.0
http://human.owl#NCI_C12742,http://mouse.owl#MA_0000026,True,1.0
http://human.owl#NCI_C32056,http://mouse.owl#MA_0000417,True,1.0
http://human.owl#NCI_C33661,http://mouse.owl#MA_0002053,False,1.0
http://human.owl#NCI_C12821,http://mouse.owl#MA_0001032,True,1.0
http://human.owl#NCI_C52941,http://mouse.owl#MA_0001982,True,1.0
http://human.owl#NCI_C32154,http://mouse.owl#MA_0001676,True,1.0
http://human.owl#NCI_C49136,http://mouse.owl#MA_0000186,True,1.0
http://human.owl#NCI_C12683,http://mouse.owl#MA_0000436,True,1.0
http://human.owl#NCI_C49222,http://mouse.owl#MA_0001567,True,1.0
http://human.owl#NCI_C12378,http://mouse.owl#MA_0000323,True,1.0
http://human.owl#NCI_C12759,http://mouse.owl#MA_0000288,True,1.0
http://human.owl#NCI_C32154,http://mouse.owl#MA_0001679,False,1.0
http://human.owl#NCI_C32824,http://mouse.owl#MA_0002324,True,1.0
http://human.owl#NCI_C12701,http://mouse.owl#MA_0000152,True,1.0
http://human.owl#NCI_C12259,http://mouse.owl#MA_0001624,True,1.0
http://human.owl#NCI_C12500,http://mouse.owl#MA_0000255,True,1.0
http://human.owl#NCI_C13177,http://mouse.owl#MA_0000279,True,1.0
http://human.owl#NCI_C33548,http://mouse.owl#MA_0000459,True,1.0
http://human.owl#NCI_C12292,http://mouse.owl#MA_0000259,True,1.0
http://human.owl#NCI_C28381,http://mouse.owl#MA_0001289,False,1.0
http://human.owl#NCI_C32053,http://mouse.owl#MA_0001771,True,1.0
http://human.owl#NCI_C49209,http://mouse.owl#MA_0001835,True,1.0
http://human.owl#NCI_C49301,http://mouse.owl#MA_0001596,True,1.0
http://human.owl#NCI_C12351,http://mouse.owl#MA_0000183,False,1.0
http://human.owl#NCI_C32661,http://mouse.owl#MA_0002519,True,1.0
http://human.owl#NCI_C32538,http://mouse.owl#MA_0002680,True,1.0
http://human.owl#NCI_C49333,http://mouse.owl#MA_0000810,True,1.0
http://human.owl#NCI_C12848,http://mouse.owl#MA_0001611,False,1.0
http://human.owl#NCI_C32945,http://mouse.owl#MA_0001280,True,1.0
http://human.owl#NCI_C32561,http://mouse.owl#MA_0002325,True,1.0
http://human.owl#NCI_C49330,http://mouse.owl#MA_0000704,True,1.0
http://human.owl#NCI_C13004,http://mouse.owl#MA_0000077,True,1.0
http://human.owl#NCI_C32933,http://mouse.owl#MA_0001757,False,1.0
http://human.owl#NCI_C32933,http://mouse.owl#MA_0001756,False,1.0
http://human.owl#NCI_C32884,http://mouse.owl#MA_0000045,False,1.0
http://human.owl#NCI_C13004,http://mouse.owl#MA_0000076,True,1.0
http://human.owl#NCI_C49307,http://mouse.owl#MA_0001860,True,1.0
http://human.owl#NCI_C12812,http://mouse.owl#MA_0001106,True,1.0
http://human.owl#NCI_C12937,http://mouse.owl#MA_0000792,True,1.0
http://human.owl#NCI_C52786,http://mouse.owl#MA_0001395,True,1.0
http://human.owl#NCI_C12353,http://mouse.owl#MA_0000941,True,1.0
http://human.owl#NCI_C32931,http://mouse.owl#MA_0001547,False,1.0
http://human.owl#NCI_C32436,http://mouse.owl#MA_0002027,True,1.0
http://human.owl#NCI_C12385,http://mouse.owl#MA_0001543,True,1.0
http://human.owl#NCI_C33581,http://mouse.owl#MA_0002063,True,1.0
http://human.owl#NCI_C33162,http://mouse.owl#MA_0001349,True,1.0
http://human.owl#NCI_C13147,http://mouse.owl#MA_0001591,False,1.0
http://human.owl#NCI_C32663,http://mouse.owl#MA_0002685,True,1.0
http://human.owl#NCI_C33568,http://mouse.owl#MA_0002686,True,1.0
http://human.owl#NCI_C33894,http://mouse.owl#MA_0000461,True,1.0
http://human.owl#NCI_C12723,http://mouse.owl#MA_0001093,True,1.0
http://human.owl#NCI_C32337,http://mouse.owl#MA_0001012,True,1.0
http://human.owl#NCI_C49208,http://mouse.owl#MA_0001832,True,1.0
http://human.owl#NCI_C49243,http://mouse.owl#MA_0001539,True,1.0
http://human.owl#NCI_C33106,http://mouse.owl#MA_0000453,True,1.0
http://human.owl#NCI_C33140,http://mouse.owl#MA_0001029,True,1.0
http://human.owl#NCI_C32890,http://mouse.owl#MA_0001505,True,1.0
http://human.owl#NCI_C33894,http://mouse.owl#MA_0000460,True,1.0
http://human.owl#NCI_C32928,http://mouse.owl#MA_0002689,True,1.0
http://human.owl#NCI_C33923,http://mouse.owl#MA_0000854,False,1.0
http://human.owl#NCI_C32622,http://mouse.owl#MA_0000044,False,1.0
http://human.owl#NCI_C25763,http://mouse.owl#MA_0001522,False,1.0
http://human.owl#NCI_C25763,http://mouse.owl#MA_0001521,False,1.0
http://human.owl#NCI_C33611,http://mouse.owl#MA_0001220,True,1.0
http://human.owl#NCI_C52828,http://mouse.owl#MA_0001163,True,1.0
http://human.owl#NCI_C32764,http://mouse.owl#MA_0002321,True,1.0
http://human.owl#NCI_C12761,http://mouse.owl#MA_0001097,True,1.0
http://human.owl#NCI_C38669,http://mouse.owl#MA_0002664,True,1.0
http://human.owl#NCI_C33826,http://mouse.owl#MA_0002070,False,1.0
http://human.owl#NCI_C49241,http://mouse.owl#MA_0001537,True,1.0
http://human.owl#NCI_C49306,http://mouse.owl#MA_0001863,True,1.0
http://human.owl#NCI_C13270,http://mouse.owl#MA_0002516,True,1.0
http://human.owl#NCI_C32685,http://mouse.owl#MA_0002606,True,1.0
http://human.owl#NCI_C33809,http://mouse.owl#MA_0002398,True,1.0
http://human.owl#NCI_C12398,http://mouse.owl#MA_0000175,True,1.0
http://human.owl#NCI_C33287,http://mouse.owl#MA_0000532,True,1.0
http://human.owl#NCI_C38668,http://mouse.owl#MA_0002663,True,1.0
http://human.owl#NCI_C49305,http://mouse.owl#MA_0001858,True,1.0
http://human.owl#NCI_C12260,http://mouse.owl#MA_0002560,True,1.0
http://human.owl#NCI_C32475,http://mouse.owl#MA_0001036,True,1.0
http://human.owl#NCI_C32809,http://mouse.owl#MA_0001312,True,1.0
http://human.owl#NCI_C12263,http://mouse.owl#MA_0000338,True,1.0
http://human.owl#NCI_C32692,http://mouse.owl#MA_0001709,True,1.0
http://human.owl#NCI_C48940,http://mouse.owl#MA_0001695,True,1.0
http://human.owl#NCI_C13046,http://mouse.owl#MA_0000113,True,1.0
http://human.owl#NCI_C32228,http://mouse.owl#MA_0000858,True,1.0
http://human.owl#NCI_C12608,http://mouse.owl#MA_0000127,False,1.0
http://human.owl#NCI_C32930,http://mouse.owl#MA_0002690,True,1.0
http://human.owl#NCI_C33750,http://mouse.owl#MA_0002392,True,1.0
http://human.owl#NCI_C32808,http://mouse.owl#MA_0001311,True,1.0
http://human.owl#NCI_C33040,http://mouse.owl#MA_0002672,True,1.0
http://human.owl#NCI_C33652,http://mouse.owl#MA_0001245,True,1.0
http://human.owl#NCI_C52827,http://mouse.owl#MA_0001165,True,1.0
http://human.owl#NCI_C32833,http://mouse.owl#MA_0001534,True,1.0
http://human.owl#NCI_C13045,http://mouse.owl#MA_0000115,False,1.0
http://human.owl#NCI_C32783,http://mouse.owl#MA_0001276,True,1.0
http://human.owl#NCI_C53079,http://mouse.owl#MA_0002395,True,1.0
http://human.owl#NCI_C49240,http://mouse.owl#MA_0001536,True,1.0
http://human.owl#NCI_C12809,http://mouse.owl#MA_0001358,False,1.0
http://human.owl#NCI_C32934,http://mouse.owl#MA_0001769,True,1.0
http://human.owl#NCI_C12403,http://mouse.owl#MA_0000385,True,1.0
http://human.owl#NCI_C33570,http://mouse.owl#MA_0002687,True,1.0
http://human.owl#NCI_C33572,http://mouse.owl#MA_0001562,True,1.0
http://human.owl#NCI_C12421,http://mouse.owl#MA_0002474,True,1.0
http://human.owl#NCI_C32825,http://mouse.owl#MA_0001176,True,1.0
http://human.owl#NCI_C49279,http://mouse.owl#MA_0001787,True,1.0
http://human.owl#NCI_C12352,http://mouse.owl#MA_0000905,True,1.0
http://human.owl#NCI_C32078,http://mouse.owl#MA_0000463,True,1.0
http://human.owl#NCI_C32934,http://mouse.owl#MA_0001770,True,1.0
http://human.owl#NCI_C53057,http://mouse.owl#MA_0002185,False,1.0
http://human.owl#NCI_C12759,http://mouse.owl#MA_0001096,True,1.0
http://human.owl#NCI_C33688,http://mouse.owl#MA_0001277,True,1.0
http://human.owl#NCI_C32666,http://mouse.owl#MA_0002306,True,1.0
http://human.owl#NCI_C33204,http://mouse.owl#MA_0000193,False,1.0
http://human.owl#NCI_C49586,http://mouse.owl#MA_0000742,True,1.0
http://human.owl#NCI_C12864,http://mouse.owl#MA_0001388,True,1.0
http://human.owl#NCI_C12807,http://mouse.owl#MA_0001028,True,1.0
http://human.owl#NCI_C12746,http://mouse.owl#MA_0002435,True,1.0
http://human.owl#NCI_C12807,http://mouse.owl#MA_0001029,True,1.0
http://human.owl#NCI_C12258,http://mouse.owl#MA_0002559,True,1.0
http://human.owl#NCI_C33586,http://mouse.owl#MA_0001289,True,1.0
http://human.owl#NCI_C52707,http://mouse.owl#MA_0001596,True,1.0
http://human.owl#NCI_C12808,http://mouse.owl#MA_0001105,True,1.0
http://human.owl#NCI_C33773,http://mouse.owl#MA_0002674,True,1.0
http://human.owl#NCI_C12789,http://mouse.owl#MA_0000316,True,1.0
http://human.owl#NCI_C12506,http://mouse.owl#MA_0000348,True,1.0
http://human.owl#NCI_C49141,http://mouse.owl#MA_0000995,True,1.0
