Source,Target,Prediction,Confidence
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Ventral_corticospinal_tract,http://www.ihtsdo.org/snomed#Structure_of_ventral_corticospinal_tract,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Right_inferior_parathyroid_gland,http://www.ihtsdo.org/snomed#Structure_of_right_inferior_parathyroid_gland,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Right_kidney,http://www.ihtsdo.org/snomed#Vein_of_kidney,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cardiac_chamber,http://www.ihtsdo.org/snomed#Cardiac_chamber_structure,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Vertebral_plexus,http://www.ihtsdo.org/snomed#Thoracic_plexus,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Tendon_of_infundibulum,http://www.ihtsdo.org/snomed#Structure_of_tendon_of_conus_arteriosus,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Frontal_vein,http://www.ihtsdo.org/snomed#Frontal_vein,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_medial_external_iliac_lymph_nodes,http://www.ihtsdo.org/snomed#Medial_external_iliac_lymph_node_group,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Spinous_process_of_thoracic_vertebra,http://www.ihtsdo.org/snomed#Structure_of_spinous_process_of_vertebra,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Superior_lumbar_triangle,http://www.ihtsdo.org/snomed#Superior_lumbar_triangle,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Olfactory_bulb,http://www.ihtsdo.org/snomed#Structure_of_olfactory_bulb,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Terminal_hair,http://www.ihtsdo.org/snomed#Structure_of_terminal_hair,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Sternal_articular_facet_of_clavicle,http://www.ihtsdo.org/snomed#Structure_of_sternal_facet_of_clavicle,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Hypoglossal_canal,http://www.ihtsdo.org/snomed#Structure_of_hypoglossal_canal,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Intervertebral_foramen,http://www.ihtsdo.org/snomed#Structure_of_intervertebral_foramen,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Infrahyoid_muscle,http://www.ihtsdo.org/snomed#Structure_of_infrahyoid_muscle,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Tendon_of_lumbrical_of_hand,http://www.ihtsdo.org/snomed#Tendon_of_lumbrical_muscle_of_hand,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Base_of_arytenoid_cartilage,http://www.ihtsdo.org/snomed#Structure_of_base_of_arytenoid_cartilage,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_appendicular_lymph_nodes,http://www.ihtsdo.org/snomed#Structure_of_appendicular_lymph_node,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Sternocostal_surface_of_heart,http://www.ihtsdo.org/snomed#Structure_of_sternocostal_surface_of_heart,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_thymic_veins,http://www.ihtsdo.org/snomed#Structure_of_thymic_vein,True,1.0
