Source,Target,Prediction,Confidence
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_medial_external_iliac_lymph_nodes,http://www.ihtsdo.org/snomed#Medial_external_iliac_lymph_node_group,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Frontal_vein,http://www.ihtsdo.org/snomed#Frontal_vein,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Infrahyoid_muscle,http://www.ihtsdo.org/snomed#Structure_of_infrahyoid_muscle,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_thymic_veins,http://www.ihtsdo.org/snomed#Structure_of_thymic_vein,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_caroticotympanic_arteries,http://www.ihtsdo.org/snomed#Structure_of_caroticotympanic_artery,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Sinus_confluence,http://www.ihtsdo.org/snomed#Structure_of_confluence_of_sinuses,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anterior_auricular_vein,http://www.ihtsdo.org/snomed#Structure_of_anterior_auricular_vein,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Hepatorenal_ligament,http://www.ihtsdo.org/snomed#Structure_of_hepatorenal_ligament,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_middle_thyroid_veins,http://www.ihtsdo.org/snomed#Structure_of_middle_thyroid_vein,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Superficial_dorsal_vein_of_penis,http://www.ihtsdo.org/snomed#Structure_of_superficial_dorsal_vein_of_penis,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Coronal_plane,http://www.ihtsdo.org/snomed#Coronal_plane,True,1.0
