Source,Target,Prediction,Confidence
http://www.ihtsdo.org/snomed#Chromaffinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sympathetic_Paraganglioma,True,1.0
http://www.ihtsdo.org/snomed#Excision_of_bone_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Excision_of_Bone,True,1.0
http://www.ihtsdo.org/snomed#Kidney_and_or_ureter_structures,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Kidney_and_Ureter,True,1.0
http://www.ihtsdo.org/snomed#Furosemide,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Furosemide,True,1.0
http://www.ihtsdo.org/snomed#Neutrophil_abnormality,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Abnormal_Neutrophil,True,1.0
http://www.ihtsdo.org/snomed#Euphorbia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Euphorbia,True,1.0
http://www.ihtsdo.org/snomed#Erythroplakia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Erythroplakia,True,1.0
http://www.ihtsdo.org/snomed#Hydroxyzine_hydrochloride,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hydroxyzine_Hydrochloride,True,1.0
http://www.ihtsdo.org/snomed#Dichlorophene,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dichlorophen,True,1.0
http://www.ihtsdo.org/snomed#Iraq,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Iraq,True,1.0
http://www.ihtsdo.org/snomed#Pigmented_villonodular_synovitis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Diffuse_Giant_Cell_Tumor_of_Tendon_Sheath,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_sternocleidomastoid_muscle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sternocleidomastoid_Muscle,True,1.0
http://www.ihtsdo.org/snomed#Fossa_of_auricle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Fossa_of_the_Helix,False,1.0
http://www.ihtsdo.org/snomed#Impairment,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Impairment,True,1.0
http://www.ihtsdo.org/snomed#Levorphanol_tartrate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Levorphanol_Tartrate,True,1.0
http://www.ihtsdo.org/snomed#Malignant_histiocytosis_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Histiocytosis,False,1.0
http://www.ihtsdo.org/snomed#Does_move,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Movement,False,1.0
http://www.ihtsdo.org/snomed#Bleomycin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bleomycin_Antibiotic,True,1.0
http://www.ihtsdo.org/snomed#Nickel_AND_OR_nickel_compound,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nickel_Compound,False,1.0
http://www.ihtsdo.org/snomed#Breast_disorders_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Breast_Disorder,True,1.0
http://www.ihtsdo.org/snomed#Malignant_neoplasm_tonsil_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Tonsillar_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Razoxane,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Razoxane,True,1.0
http://www.ihtsdo.org/snomed#Penile_intraepithelial_neoplasia_grade_III,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Grade_II_Penile_Intraepithelial_Neoplasia,False,1.0
http://www.ihtsdo.org/snomed#Structure_of_axillary_tail_of_breast,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Axillary_Tail_of_the_Breast,True,1.0
http://www.ihtsdo.org/snomed#Croton_oil,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Croton_Oil,False,1.0
http://www.ihtsdo.org/snomed#Transferase,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Transferase,True,1.0
http://www.ihtsdo.org/snomed#Tooth_root_structure,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Radix_Dentis,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_cerebral_vein,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cerebral_Vein,True,1.0
http://www.ihtsdo.org/snomed#Triiodothyronine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Triiodothyronine,True,1.0
http://www.ihtsdo.org/snomed#Selegiline_hydrochloride,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Selegiline_Hydrochloride,True,1.0
http://www.ihtsdo.org/snomed#Malathion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malathion,True,1.0
http://www.ihtsdo.org/snomed#Norethindrone_acetate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Norethindrone,True,1.0
http://www.ihtsdo.org/snomed#Basophil_adenoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Basophilic_Adenoma,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_teres_major_muscle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Teres_Major_Muscle,True,1.0
http://www.ihtsdo.org/snomed#Pleural_mesothelium,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Pleural_Mesothelioma,False,1.0
http://www.ihtsdo.org/snomed#Structure_of_sartorius_muscle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sartorius_Muscle,True,1.0
http://www.ihtsdo.org/snomed#English_foxhound,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#English_Foxhound,True,1.0
http://www.ihtsdo.org/snomed#Craniopharyngioma_papillary,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Papillary_Craniopharyngioma,True,1.0
http://www.ihtsdo.org/snomed#Corpus_luteum_cyst_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Corpus_Luteum_Cyst,False,1.0
http://www.ihtsdo.org/snomed#Beclomethasone_dipropionate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Beclomethasone,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_nucleus_ambiguus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nucleus_Ambiguus,True,1.0
http://www.ihtsdo.org/snomed#Adefovir_dipivoxil,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Adefovir,False,1.0
http://www.ihtsdo.org/snomed#Rickettsioses_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Rickettsiosis,True,1.0
http://www.ihtsdo.org/snomed#Bartholin_s_gland_carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bartholin_s_Gland_Carcinoma,True,1.0
http://www.ihtsdo.org/snomed#Rheumatic_heart_disease_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Rheumatic_Heart_Disease,False,1.0
http://www.ihtsdo.org/snomed#Adeno_associated_virus_2,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Adeno-Associated_Virus_Type_2,True,1.0
http://www.ihtsdo.org/snomed#Malignant_neoplasm_of_thorax_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Thoracic_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Urtica_dioica,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Urtica_dioica,True,1.0
http://www.ihtsdo.org/snomed#Perindopril_erbumine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Perindopril_Erbumine,True,1.0
http://www.ihtsdo.org/snomed#Inflammatory_pseudotumor_of_the_skin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Inflammatory_Myofibroblastic_Tumor,True,1.0
http://www.ihtsdo.org/snomed#Dacarbazine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dacarbazine,True,1.0
http://www.ihtsdo.org/snomed#Comedo,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Comedo,True,1.0
