Source,Target,Prediction,Confidence
http://www.ihtsdo.org/snomed#Chromaffinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sympathetic_Paraganglioma,True,1.0
http://www.ihtsdo.org/snomed#Impairment,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Impairment,True,1.0
http://www.ihtsdo.org/snomed#Bleomycin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bleomycin_Antibiotic,True,1.0
http://www.ihtsdo.org/snomed#Nickel_AND_OR_nickel_compound,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nickel_Compound,False,1.0
http://www.ihtsdo.org/snomed#Malignant_neoplasm_tonsil_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Tonsillar_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Penile_intraepithelial_neoplasia_grade_III,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Grade_II_Penile_Intraepithelial_Neoplasia,False,1.0
http://www.ihtsdo.org/snomed#Tooth_root_structure,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Radix_Dentis,True,1.0
http://www.ihtsdo.org/snomed#Triiodothyronine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Triiodothyronine,True,1.0
http://www.ihtsdo.org/snomed#Beclomethasone_dipropionate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Beclomethasone,True,1.0
http://www.ihtsdo.org/snomed#Bartholin_s_gland_carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bartholin_s_Gland_Carcinoma,True,1.0
http://www.ihtsdo.org/snomed#Rheumatic_heart_disease_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Rheumatic_Heart_Disease,False,1.0
http://www.ihtsdo.org/snomed#Adeno_associated_virus_2,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Adeno-Associated_Virus_Type_2,True,1.0
http://www.ihtsdo.org/snomed#Malignant_neoplasm_of_thorax_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Thoracic_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Inflammatory_pseudotumor_of_the_skin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Inflammatory_Myofibroblastic_Tumor,True,1.0
http://www.ihtsdo.org/snomed#Epithelioma_basal_cell,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Basal_Cell_Carcinoma,True,1.0
http://www.ihtsdo.org/snomed#Chronic_bronchitis_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Chronic_Bronchitis,True,1.0
http://www.ihtsdo.org/snomed#Hereditary_retinal_dystrophy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hereditary_Retinal_Dystrophy,True,1.0
http://www.ihtsdo.org/snomed#Injection_given,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Injection_Dosage_Form,False,1.0
http://www.ihtsdo.org/snomed#Diagnostic_procedure_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Diagnostic_Procedure,True,1.0
http://www.ihtsdo.org/snomed#Nasal_cavity_disease_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nasal_Cavity_Disorder,True,1.0
http://www.ihtsdo.org/snomed#Bromelains,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bromelain,True,1.0
http://www.ihtsdo.org/snomed#Daily,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Twice_Daily,False,1.0
http://www.ihtsdo.org/snomed#Carcinoma_in_situ_of_larynx,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Stage_0_Laryngeal_Cancer,True,1.0
http://www.ihtsdo.org/snomed#Acute_periodontitis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Acute_Periodontitis,True,1.0
http://www.ihtsdo.org/snomed#Alpha_tocopherol,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#d-alpha-Tocopherol,True,1.0
http://www.ihtsdo.org/snomed#Malignant_neoplasm_of_nervous_system_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Nervous_System_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Male_genital,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Male_Reproductive_System,True,1.0
http://www.ihtsdo.org/snomed#Mild_dysplasia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Low-Grade_Gastric_Intraepithelial_Neoplasia,True,1.0
http://www.ihtsdo.org/snomed#Malignant_basal_cell_tumor,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Basal_Cell_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Giant_lymph_node_hyperplasia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Angiofollicular_Lymphoid_Hyperplasia,True,1.0
http://www.ihtsdo.org/snomed#Legally_induced_abortion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Legally_Induced_Abortion,True,1.0
http://www.ihtsdo.org/snomed#Sulfur_AND_OR_sulfur_compound,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sulfur_Compound,False,1.0
http://www.ihtsdo.org/snomed#Monocyte_count,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Monocyte_Count,True,1.0
http://www.ihtsdo.org/snomed#Burkitt_s_lymphoma_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Burkitt_s_Lymphoma,True,1.0
http://www.ihtsdo.org/snomed#Amphetamine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Amphetamine,False,1.0
http://www.ihtsdo.org/snomed#Dronabinol,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dronabinol,True,1.0
http://www.ihtsdo.org/snomed#Hairy_cell_leukemia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hairy_Cell_Leukemia_Variant,False,1.0
http://www.ihtsdo.org/snomed#Malignant_neoplasm_of_endocervix_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Endocervical_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#239Plutonium,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Plutonium-239,True,1.0
http://www.ihtsdo.org/snomed#Left_ventricular_ejection_fraction,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ejection_Fraction,True,1.0
http://www.ihtsdo.org/snomed#Volkmann_s_ischemic_contracture_following_injury,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Volkmann_s_Ischemic_Contracture,True,1.0
http://www.ihtsdo.org/snomed#Annexin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Annexin-A5_Protein,True,1.0
http://www.ihtsdo.org/snomed#Paget_s_disease_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Paget_s_Cell_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Avascular_necrosis_of_the_head_of_femur,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Avascular_Necrosis_of_Femur,True,1.0
http://www.ihtsdo.org/snomed#Avascular_bone_necrosis_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Avascular_Necrosis_of_Bone,True,1.0
http://www.ihtsdo.org/snomed#Triamcinolone_hexacetonide,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Triamcinolone_Acetonide,False,1.0
http://www.ihtsdo.org/snomed#Extension,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Extension,True,1.0
http://www.ihtsdo.org/snomed#Oximetry,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Oxygen_Saturation,True,1.0
http://www.ihtsdo.org/snomed#Other_ovarian_cysts,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ovarian_Cyst,True,1.0
http://www.ihtsdo.org/snomed#Neoplasm_of_cranial_nerve,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Vagus_Nerve_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Branchioma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Branchial_Cyst,False,1.0
http://www.ihtsdo.org/snomed#Malignant_melanoma_of_skin_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cutaneous_Melanoma,False,1.0
http://www.ihtsdo.org/snomed#Venous_malformation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Venous_Hemangioma,True,1.0
http://www.ihtsdo.org/snomed#Calculus_in_urethra,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Urethral_Stone,True,1.0
http://www.ihtsdo.org/snomed#Conduction,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Conduction,True,1.0
http://www.ihtsdo.org/snomed#Epirubicin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Epirubicin,True,1.0
http://www.ihtsdo.org/snomed#Prostaglandin_synthase,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Prostaglandin-Endoperoxide_Synthase-1,True,1.0
http://www.ihtsdo.org/snomed#Triamcinolone_acetonide,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Triamcinolone_Acetonide,True,1.0
http://www.ihtsdo.org/snomed#Series,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#DICOM_Series,False,1.0
http://www.ihtsdo.org/snomed#Precursor_T_cell_lymphoblastic_leukemia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Adult_Precursor_T_Lymphoblastic_Leukemia,True,1.0
http://www.ihtsdo.org/snomed#Arsenic_compound,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Arsenic_Compound,False,1.0
http://www.ihtsdo.org/snomed#Obstructed_femoral_hernia_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Femoral_Hernia_with_Obstruction,True,1.0
http://www.ihtsdo.org/snomed#Particulate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Particulate,False,1.0
http://www.ihtsdo.org/snomed#Acquired_hemolytic_anemia_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Acquired_Hemolytic_Anemia,True,1.0
http://www.ihtsdo.org/snomed#Filler,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Filler,False,1.0
http://www.ihtsdo.org/snomed#Tetrahydrocannabinol,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dronabinol,True,1.0
http://www.ihtsdo.org/snomed#Balloon_cell_melanoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Balloon_Cell_Malignant_Skin_Melanoma,True,1.0
http://www.ihtsdo.org/snomed#Angioimmunoblastic_lymphadenopathy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Angioimmunoblastic_T-Cell_Lymphoma,True,1.0
http://www.ihtsdo.org/snomed#Adrenal_adenoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Adrenal_Gland_Adenoma,True,1.0
http://www.ihtsdo.org/snomed#Intraductal_carcinoma_in_situ_of_breast,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ductal_Carcinoma_in_situ_of_the_Breast,True,1.0
http://www.ihtsdo.org/snomed#Carcinoma_in_situ_of_accessory_sinus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Paranasal_Sinus_Carcinoma,True,1.0
http://www.ihtsdo.org/snomed#Malignant_epithelial_neoplasm_of_skin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Carcinoma,True,1.0
