Source,Target,Prediction,Confidence
http://www.ihtsdo.org/snomed#Nickel_AND_OR_nickel_compound,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nickel_Compound,True,1.0
http://www.ihtsdo.org/snomed#Raspberries,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Raspberry_Flavor,False,1.0
http://www.ihtsdo.org/snomed#Chromaffinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sympathetic_Paraganglioma,True,1.0
http://www.ihtsdo.org/snomed#Selenium,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dietary_Selenium,True,1.0
http://www.ihtsdo.org/snomed#Other_specified_heart_disease,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Heart_Disease,True,1.0
http://www.ihtsdo.org/snomed#Peripheral_retinal_degeneration_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Peripheral_Retinal_Degeneration,True,1.0
http://www.ihtsdo.org/snomed#Impairment,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Impairment,False,1.0
http://www.ihtsdo.org/snomed#Pregnancy_complications,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Pregnancy_Complication,True,1.0
http://www.ihtsdo.org/snomed#Alpha_tocopherol,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#d-alpha-Tocopherol,True,1.0
http://www.ihtsdo.org/snomed#Before_meal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#With_Every_Meal,False,1.0
http://www.ihtsdo.org/snomed#Left_ventricular_ejection_fraction,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ejection_Fraction,True,1.0
http://www.ihtsdo.org/snomed#Giant_lymph_node_hyperplasia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Angiofollicular_Lymphoid_Hyperplasia,True,1.0
http://www.ihtsdo.org/snomed#Region_of_lymph_node,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Regional_Lymph_Node,True,1.0
http://www.ihtsdo.org/snomed#Triamcinolone_acetonide,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Triamcinolone_Acetonide,True,1.0
http://www.ihtsdo.org/snomed#Carcinoma_in_situ_of_larynx,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Stage_0_Laryngeal_Cancer,True,1.0
http://www.ihtsdo.org/snomed#Stiff_neck,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Neck_Stiffness,True,1.0
http://www.ihtsdo.org/snomed#Arsenic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dietary_Arsenic,False,1.0
http://www.ihtsdo.org/snomed#Suture,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Suture_Dosage_Form,False,1.0
http://www.ihtsdo.org/snomed#Dronabinol,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dronabinol,True,1.0
http://www.ihtsdo.org/snomed#Bleomycin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bleomycin_Antibiotic,True,1.0
http://www.ihtsdo.org/snomed#Monocyte_count,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Monocyte_Count,True,1.0
http://www.ihtsdo.org/snomed#Euphoria,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Euphoria_Adverse_Event,True,1.0
http://www.ihtsdo.org/snomed#Adeno_associated_virus_2,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Adeno-Associated_Virus_Type_2,True,1.0
http://www.ihtsdo.org/snomed#Other_ovarian_cysts,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ovarian_Cyst,True,1.0
http://www.ihtsdo.org/snomed#Inflammatory_pseudotumor_of_the_skin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Inflammatory_Myofibroblastic_Tumor,False,1.0
http://www.ihtsdo.org/snomed#Nasal_cavity_disease_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nasal_Cavity_Disorder,True,1.0
http://www.ihtsdo.org/snomed#Malignant_neoplasm_tonsil_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Tonsillar_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Other_uterine_disorders_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Uterine_Disorder,True,1.0
http://www.ihtsdo.org/snomed#Open_fracture_of_metacarpal_bones_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Open_Fracture_of_Metacarpal_Bone,True,1.0
http://www.ihtsdo.org/snomed#Beclomethasone_dipropionate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Beclomethasone,True,1.0
http://www.ihtsdo.org/snomed#Other_excision_of_lesion_of_skin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Excision_of_Lesion_of_Skin,True,1.0
http://www.ihtsdo.org/snomed#Bartholin_s_gland_carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bartholin_s_Gland_Carcinoma,True,1.0
http://www.ihtsdo.org/snomed#Route,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#CDISC_SDTM_Route_of_Administration_Terminology,False,1.0
http://www.ihtsdo.org/snomed#Neoplasm_of_cranial_nerve,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Vagus_Nerve_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_posterior_mediastinum,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Posterior_Mediastinal_Artery,False,1.0
http://www.ihtsdo.org/snomed#Injury_of_ankle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ankle_Injury,True,1.0
http://www.ihtsdo.org/snomed#Hairy_cell_leukemia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hairy_Cell_Leukemia_Variant,True,1.0
http://www.ihtsdo.org/snomed#Diverticulitis_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Diverticulitis,True,1.0
