Source,Target,Prediction,Confidence
http://www.ihtsdo.org/snomed#Disorder_of_refraction,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Refractory_Disease,False,1.0
http://www.ihtsdo.org/snomed#Erythroplakia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Erythroplakia,True,1.0
http://www.ihtsdo.org/snomed#Chromaffinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sympathetic_Paraganglioma,True,1.0
http://www.ihtsdo.org/snomed#Into_ureter,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Ureter,True,1.0
http://www.ihtsdo.org/snomed#Other_specified_heart_disease,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Heart_Disease,True,1.0
http://www.ihtsdo.org/snomed#Kidney_and_or_ureter_structures,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Kidney_and_Ureter,True,1.0
http://www.ihtsdo.org/snomed#Hydroxyzine_hydrochloride,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hydroxyzine_Hydrochloride,True,1.0
http://www.ihtsdo.org/snomed#Selenium,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dietary_Selenium,True,1.0
http://www.ihtsdo.org/snomed#Nickel_AND_OR_nickel_compound,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nickel_Compound,True,1.0
http://www.ihtsdo.org/snomed#Euphorbia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Euphorbia,True,1.0
http://www.ihtsdo.org/snomed#Raspberries,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Raspberry_Flavor,False,1.0
http://www.ihtsdo.org/snomed#Pigmented_villonodular_synovitis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Diffuse_Giant_Cell_Tumor_of_Tendon_Sheath,True,1.0
http://www.ihtsdo.org/snomed#Furosemide,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Furosemide,True,1.0
http://www.ihtsdo.org/snomed#Dichlorophene,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dichlorophen,True,1.0
http://www.ihtsdo.org/snomed#Razoxane,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Razoxane,True,1.0
http://www.ihtsdo.org/snomed#Levorphanol_tartrate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Levorphanol_Tartrate,True,1.0
http://www.ihtsdo.org/snomed#Iraq,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Iraq,True,1.0
http://www.ihtsdo.org/snomed#Impairment,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Impairment,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_teres_major_muscle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Teres_Major_Muscle,True,1.0
http://www.ihtsdo.org/snomed#English_foxhound,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#English_Foxhound,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_sternocleidomastoid_muscle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sternocleidomastoid_Muscle,True,1.0
http://www.ihtsdo.org/snomed#Peripheral_retinal_degeneration_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Peripheral_Retinal_Degeneration,True,1.0
http://www.ihtsdo.org/snomed#Skin_structure_of_head,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Head_Skin,True,1.0
http://www.ihtsdo.org/snomed#Deferoxamine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Deferoxamine,True,1.0
http://www.ihtsdo.org/snomed#Caspase_1,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Caspase-1,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_esophageal_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Esophageal_Artery,True,1.0
http://www.ihtsdo.org/snomed#Pregnancy_complications,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Pregnancy_Complication,True,1.0
http://www.ihtsdo.org/snomed#Guam,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Guam,True,1.0
http://www.ihtsdo.org/snomed#Before_meal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#With_Every_Meal,False,1.0
http://www.ihtsdo.org/snomed#Alpha_tocopherol,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#d-alpha-Tocopherol,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_fornix_of_vagina,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Vaginal_Fornix,True,1.0
http://www.ihtsdo.org/snomed#Left_ventricular_ejection_fraction,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ejection_Fraction,True,1.0
http://www.ihtsdo.org/snomed#Giant_lymph_node_hyperplasia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Angiofollicular_Lymphoid_Hyperplasia,True,1.0
http://www.ihtsdo.org/snomed#Mesenchymoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mesenchymoma,True,1.0
http://www.ihtsdo.org/snomed#Carcinoma_of_gallbladder,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Gallbladder_Carcinoma,True,1.0
http://www.ihtsdo.org/snomed#Albendazole,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Albendazole,True,1.0
http://www.ihtsdo.org/snomed#Synapse_structure,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Synapse,True,1.0
http://www.ihtsdo.org/snomed#Arsenic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dietary_Arsenic,True,1.0
http://www.ihtsdo.org/snomed#Region_of_lymph_node,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Regional_Lymph_Node,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_inferior_epigastric_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Inferior_Epigastric_Artery,True,1.0
http://www.ihtsdo.org/snomed#Stiff_neck,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Neck_Stiffness,True,1.0
http://www.ihtsdo.org/snomed#Triamcinolone_acetonide,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Triamcinolone_Acetonide,True,1.0
http://www.ihtsdo.org/snomed#Dronabinol,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dronabinol,True,1.0
http://www.ihtsdo.org/snomed#Carcinoma_in_situ_of_larynx,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Stage_0_Laryngeal_Cancer,True,1.0
http://www.ihtsdo.org/snomed#Thymic_epithelial_neoplasm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Thymus_Epithelial_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Suture,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Suture_Dosage_Form,True,1.0
http://www.ihtsdo.org/snomed#L0_stage,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#L0_Stage_Finding,True,1.0
http://www.ihtsdo.org/snomed#Bleomycin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bleomycin_Antibiotic,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_sinoatrial_node,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sinoatrial_Node,True,1.0
http://www.ihtsdo.org/snomed#Monocyte_count,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Monocyte_Count,True,1.0
http://www.ihtsdo.org/snomed#Praziquantel,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Praziquantel,True,1.0
http://www.ihtsdo.org/snomed#Comedo,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Comedo,True,1.0
http://www.ihtsdo.org/snomed#Euphoria,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Euphoria_Adverse_Event,True,1.0
http://www.ihtsdo.org/snomed#Adeno_associated_virus_2,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Adeno-Associated_Virus_Type_2,True,1.0
http://www.ihtsdo.org/snomed#Other_ovarian_cysts,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ovarian_Cyst,True,1.0
http://www.ihtsdo.org/snomed#Blast,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Blast_Cells,False,1.0
http://www.ihtsdo.org/snomed#Structure_of_common_bile_duct_distal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Distal_Common_Bile_Duct,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_axillary_nerve,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Axillary_Nerve,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_axillary_tail_of_breast,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Axillary_Tail_of_the_Breast,True,1.0
http://www.ihtsdo.org/snomed#Hair_shaft_structure,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Shaft_of_the_Hair,True,1.0
http://www.ihtsdo.org/snomed#Inflammatory_pseudotumor_of_the_skin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Inflammatory_Myofibroblastic_Tumor,True,1.0
http://www.ihtsdo.org/snomed#Posterior_longitudinal_ligament_structure,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Posterior_Longitudinal_Ligament,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_parenchyma_of_lung,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Lung_Tissue,True,1.0
http://www.ihtsdo.org/snomed#Croton_oil,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Croton_Oil,True,1.0
http://www.ihtsdo.org/snomed#Nasal_cavity_disease_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nasal_Cavity_Disorder,True,1.0
http://www.ihtsdo.org/snomed#Malignant_neoplasm_tonsil_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Tonsillar_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Selegiline_hydrochloride,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Selegiline_Hydrochloride,True,1.0
http://www.ihtsdo.org/snomed#Transferase,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Transferase,True,1.0
http://www.ihtsdo.org/snomed#Other_uterine_disorders_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Uterine_Disorder,True,1.0
http://www.ihtsdo.org/snomed#Carboprost_tromethamine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Carboprost_Tromethamine,True,1.0
http://www.ihtsdo.org/snomed#Other_excision_of_lesion_of_skin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Excision_of_Lesion_of_Skin,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_nucleus_ambiguus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nucleus_Ambiguus,True,1.0
http://www.ihtsdo.org/snomed#Cystic_mucinous_AND_OR_serous_neoplasm,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Borderline_Ovarian_Serous_Neoplasm,False,1.0
http://www.ihtsdo.org/snomed#Open_fracture_of_metacarpal_bones_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Open_Fracture_of_Metacarpal_Bone,True,1.0
http://www.ihtsdo.org/snomed#Bartholin_s_gland_carcinoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bartholin_s_Gland_Carcinoma,True,1.0
http://www.ihtsdo.org/snomed#Neoplasm_of_cranial_nerve,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Vagus_Nerve_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_posterior_mediastinum,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Posterior_Mediastinal_Artery,False,1.0
http://www.ihtsdo.org/snomed#Beclomethasone_dipropionate,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Beclomethasone,True,1.0
http://www.ihtsdo.org/snomed#Atypical_endometrial_cells_of_undetermined_significance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Atypical_Endometrial_Glandular_Cells_of_Uncertain_Significance,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_sartorius_muscle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sartorius_Muscle,True,1.0
http://www.ihtsdo.org/snomed#Injury_of_ankle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Ankle_Injury,True,1.0
http://www.ihtsdo.org/snomed#Route,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#CDISC_SDTM_Route_of_Administration_Terminology,True,1.0
http://www.ihtsdo.org/snomed#Hairy_cell_leukemia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hairy_Cell_Leukemia_Variant,True,1.0
http://www.ihtsdo.org/snomed#Anise_seed,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Anise_Seed,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_posterior_temporal_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Posterior_Temporal_Artery,True,1.0
http://www.ihtsdo.org/snomed#Bearded_collie,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bearded_Collie,True,1.0
http://www.ihtsdo.org/snomed#Gatifloxacin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Gatifloxacin,True,1.0
http://www.ihtsdo.org/snomed#Diverticulitis_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Diverticulitis,True,1.0
http://www.ihtsdo.org/snomed#Male_genital,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Male_Reproductive_System,True,1.0
http://www.ihtsdo.org/snomed#Bromelains,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bromelain,True,1.0
http://www.ihtsdo.org/snomed#Minoxidil,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Minoxidil,True,1.0
http://www.ihtsdo.org/snomed#Soft_coated_wheaten_terrier,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Soft_Coated_Wheaten_Terrier,True,1.0
http://www.ihtsdo.org/snomed#Malignant_neoplasm_of_thorax_NOS,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Thoracic_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#Emaciated,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Emaciation,True,1.0
http://www.ihtsdo.org/snomed#Calculus_in_urethra,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Urethral_Stone,True,1.0
http://www.ihtsdo.org/snomed#Obstruction_of_gallbladder,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Gallbladder_Obstruction_Adverse_Event,True,1.0
http://www.ihtsdo.org/snomed#Structure_of_celiac_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Coeliac_Artery,True,1.0
http://www.ihtsdo.org/snomed#Malignant_basal_cell_tumor,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Malignant_Basal_Cell_Neoplasm,True,1.0
http://www.ihtsdo.org/snomed#NX_stage,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#NX_Stage_Finding,True,1.0
http://www.ihtsdo.org/snomed#Penile_intraepithelial_neoplasia_grade_III,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Grade_II_Penile_Intraepithelial_Neoplasia,False,1.0
http://www.ihtsdo.org/snomed#Factory,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Factor,False,1.0
http://www.ihtsdo.org/snomed#Left_cerebral_hemisphere_structure,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Left_Cerebral_Hemisphere,True,1.0
http://www.ihtsdo.org/snomed#Microtubule_alteration,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Microtubule_Alteration,True,1.0
