Source,Target,Prediction,Confidence
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Right_inferior_parathyroid_gland,http://www.ihtsdo.org/snomed#Structure_of_right_inferior_parathyroid_gland,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Tendon_of_infundibulum,http://www.ihtsdo.org/snomed#Structure_of_tendon_of_conus_arteriosus,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Frontal_vein,http://www.ihtsdo.org/snomed#Frontal_vein,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Major_histocompatibility_complex_gene,http://www.ihtsdo.org/snomed#Major_histocompatibility_complex,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Right_midclavicular_line,http://www.ihtsdo.org/snomed#Midclavicular_line_of_trunk,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Ventral_corticospinal_tract,http://www.ihtsdo.org/snomed#Structure_of_ventral_corticospinal_tract,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Sternal_articular_facet_of_clavicle,http://www.ihtsdo.org/snomed#Structure_of_sternal_facet_of_clavicle,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Tenth_intercostal_lymph_node,http://www.ihtsdo.org/snomed#Intercostal_lymph_node,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_medial_external_iliac_lymph_nodes,http://www.ihtsdo.org/snomed#Medial_external_iliac_lymph_node_group,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Olfactory_bulb,http://www.ihtsdo.org/snomed#Structure_of_olfactory_bulb,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Superior_lumbar_triangle,http://www.ihtsdo.org/snomed#Superior_lumbar_triangle,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Plantar_cuneocuboid_ligament,http://www.ihtsdo.org/snomed#Structure_of_plantar_cuneocuboidal_ligament,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Left_coronary_sulcus,http://www.ihtsdo.org/snomed#Structure_of_left_coronary_sulcus,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Intertransverse_ligament_of_thoracic_vertebrae,http://www.ihtsdo.org/snomed#Thoracic_intertransverse_ligament,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anulus_fibrosus_of_intervertebral_disk_of_third_thoracic_vertebra,http://www.ihtsdo.org/snomed#Structure_of_anulus_fibrosus_of_intervertebral_disc_of_third_thoracic_vertebra,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Diaphysis_of_fibula,http://www.ihtsdo.org/snomed#Part_of_shaft_of_fibula,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Intervertebral_foramen,http://www.ihtsdo.org/snomed#Structure_of_intervertebral_foramen,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Hypoglossal_canal,http://www.ihtsdo.org/snomed#Structure_of_hypoglossal_canal,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Short_limb_of_incus,http://www.ihtsdo.org/snomed#Structure_of_short_process_of_incus,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Temporoparietalis,http://www.ihtsdo.org/snomed#Temporoparietal_muscle,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Superior_part_of_duodenum,http://www.ihtsdo.org/snomed#Part_of_duodenum,True,1.0
