Source,Target,Prediction,Confidence
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Frontal_vein,http://www.ihtsdo.org/snomed#Frontal_vein,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Right_midclavicular_line,http://www.ihtsdo.org/snomed#Midclavicular_line_of_trunk,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Major_histocompatibility_complex_gene,http://www.ihtsdo.org/snomed#Major_histocompatibility_complex,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Infrahyoid_muscle,http://www.ihtsdo.org/snomed#Structure_of_infrahyoid_muscle,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Bone_of_sacrum,http://www.ihtsdo.org/snomed#Part_of_bone_of_sacrum,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_thymic_veins,http://www.ihtsdo.org/snomed#Structure_of_thymic_vein,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_caroticotympanic_arteries,http://www.ihtsdo.org/snomed#Structure_of_caroticotympanic_artery,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_medial_external_iliac_lymph_nodes,http://www.ihtsdo.org/snomed#Medial_external_iliac_lymph_node_group,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Tenth_intercostal_lymph_node,http://www.ihtsdo.org/snomed#Intercostal_lymph_node,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Sinus_confluence,http://www.ihtsdo.org/snomed#Structure_of_confluence_of_sinuses,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_middle_thyroid_veins,http://www.ihtsdo.org/snomed#Structure_of_middle_thyroid_vein,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_interphalangeal_joints_of_foot,http://www.ihtsdo.org/snomed#Capsule_of_foot_joint,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anterior_auricular_vein,http://www.ihtsdo.org/snomed#Structure_of_anterior_auricular_vein,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Hepatorenal_ligament,http://www.ihtsdo.org/snomed#Structure_of_hepatorenal_ligament,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Superficial_dorsal_vein_of_penis,http://www.ihtsdo.org/snomed#Structure_of_superficial_dorsal_vein_of_penis,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_anterior_conjunctival_arteries,http://www.ihtsdo.org/snomed#Structure_of_anterior_conjunctival_artery,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Temporoparietalis,http://www.ihtsdo.org/snomed#Temporoparietal_muscle,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Coronal_plane,http://www.ihtsdo.org/snomed#Coronal_plane,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_right_subclavian_lymph_nodes,http://www.ihtsdo.org/snomed#Subclavian_lymph_node_group,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Posterior_wall_of_nasopharynx,http://www.ihtsdo.org/snomed#Structure_of_posterior_wall_of_nasopharynx,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Minor_calyx,http://www.ihtsdo.org/snomed#Structure_of_minor_calyx,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Deep_branch_of_lateral_plantar_nerve,http://www.ihtsdo.org/snomed#Structure_of_lateral_plantar_nerve_deep_branch,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Nasal_concha,http://www.ihtsdo.org/snomed#Nasal_turbinate_part,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Third_part_of_right_maxillary_artery,http://www.ihtsdo.org/snomed#Branch_of_third_part_of_maxillary_artery,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_brachial_veins,http://www.ihtsdo.org/snomed#Structure_of_brachial_vein,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_anal_valves,http://www.ihtsdo.org/snomed#Structure_of_anal_valves,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Spinal_branch,http://www.ihtsdo.org/snomed#Spinal_veins,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Frontal_nerve,http://www.ihtsdo.org/snomed#Structure_of_frontal_nerve,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Hepatic_lymph_node,http://www.ihtsdo.org/snomed#Structure_of_hepatic_lymph_node,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Superior_part_of_duodenum,http://www.ihtsdo.org/snomed#Part_of_duodenum,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Pericardial_artery,http://www.ihtsdo.org/snomed#Structure_of_pericardial_artery,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anterior_branch_of_obturator_nerve,http://www.ihtsdo.org/snomed#Structure_of_obturator_nerve_anterior_branch,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Medullary_cavity_of_phalanx_of_finger,http://www.ihtsdo.org/snomed#Medullary_cavity_of_bone,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Third_part_of_maxillary_artery,http://www.ihtsdo.org/snomed#Branch_of_third_part_of_maxillary_artery,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_right_occipital_lymph_nodes,http://www.ihtsdo.org/snomed#Occipital_lymph_node_group,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cavity_of_right_ventricle,http://www.ihtsdo.org/snomed#Right_ventricular_cavity_size,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Proximal_epiphysis_of_phalanx_of_second_toe,http://www.ihtsdo.org/snomed#Structure_of_base_of_phalanx_of_second_toe,True,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Superior_epigastric_vein,http://www.ihtsdo.org/snomed#Structure_of_superior_epigastric_vein,False,1.0
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Dorsal_metatarsal_artery,http://www.ihtsdo.org/snomed#Structure_of_dorsal_metatarsal_artery,True,1.0
